Designator,Mid X,Mid Y,Rotation,Layer
A1,84.99,-122.035,0.0,top
C1,137.599999,-97.55,0.0,top
C10,97.5875,-86.1925,270.0,top
C11,101.6075,-86.167498,270.0,top
C12,101.64,-115.2975,180.0,top
C13,137.6,-95.39,0.0,top
C14,125.770001,-93.73,0.0,top
C15,104.3547,-85.066297,0.0,top
C16,107.83,-88.48,180.0,top
C17,107.84,-86.32,180.0,top
C18,142.119999,-98.762497,270.0,top
C19,144.485001,-105.65,0.0,top
C2,146.189999,-134.12,0.0,top
C20,116.990001,-101.72,180.0,top
C21,118.797501,-93.64,180.0,top
C22,142.099999,-91.7525,90.0,top
C23,137.465,-105.640001,180.0,top
C24,124.0,-101.78,0.0,top
C25,122.357501,-95.43,180.0,top
C26,136.12,-91.750001,90.0,top
C27,131.16,-104.18,270.0,bottom
C28,125.900002,-104.64202,270.0,bottom
C29,132.6,-91.760001,90.0,top
C3,97.8375,-69.777501,90.0,top
C30,134.359304,-91.974497,90.0,top
C31,124.905,-97.79,180.0,top
C32,124.139306,-104.42,270.0,bottom
C33,130.84,-91.985,90.0,top
C34,140.09,-91.740001,270.0,top
C35,122.155,-133.06,0.0,top
C36,129.715,-133.05,0.0,top
C37,140.805,-133.24,180.0,top
C38,149.685,-135.0,180.0,top
C39,142.335,-123.775,90.0,top
C4,90.297501,-79.0175,180.0,top
C40,128.37,-124.84,180.0,top
C41,119.105,-131.6,0.0,top
C42,136.905,-134.295,270.0,bottom
C43,140.825,-123.785,90.0,top
C44,132.8325,-130.67,180.0,top
C45,132.8325,-129.16,180.0,top
C46,139.315,-123.785,90.0,top
C47,134.59,-133.615,270.0,top
C48,139.935,-134.295,270.0,bottom
C49,138.415,-134.295,270.0,bottom
C5,90.297499,-80.9975,180.0,top
C50,99.5875,-86.177496,270.0,top
C51,103.3375,-78.4475,0.0,top
C52,103.3375,-80.4775,0.0,top
C53,99.9175,-82.747499,270.0,top
C54,157.770001,-100.3,0.0,top
C55,157.7625,-90.725001,0.0,top
C56,104.74,-115.19,270.0,top
C57,157.78,-97.95,0.0,top
C58,118.915,-81.9275,0.0,top
C59,126.845,-80.3075,0.0,top
C6,95.8575,-69.772501,90.0,top
C60,92.739999,-109.227499,90.0,top
C61,90.719999,-109.227499,270.0,top
C62,92.02,-106.487498,180.0,top
C63,101.64,-113.3275,180.0,top
C64,157.752501,-93.235002,0.0,top
C65,171.58,-70.365,180.0,top
C66,182.25,-70.1375,0.0,top
C67,182.26,-74.1275,0.0,top
C68,163.555001,-72.2925,180.0,top
C69,159.28,-72.24,0.0,top
C7,90.292498,-82.9975,180.0,top
C70,90.659999,-95.442498,90.0,top
C71,92.639998,-95.439999,270.0,top
C72,91.87,-92.72,180.0,top
C73,101.759999,-100.7,180.0,top
C75,101.759999,-102.69,180.0,top
C8,90.297501,-74.9675,180.0,top
C9,90.297501,-76.9975,180.0,top
CN1,137.1278,-117.0,90.0,top
CN2,137.1278,-64.0,90.0,top
D1,93.462499,-99.4875,0.0,top
D6,93.44,-113.259998,0.0,top
FB1,142.09,-95.2575,90.0,top
FB2,140.9775,-105.62,180.0,top
FB3,120.4975,-101.73,0.0,top
FB4,122.3075,-93.6,0.0,top
J1,88.3,-131.27,180.0,top
J10,96.0,-139.862499,270.0,top
J11,153.635,-139.9083,270.0,top
