nohup: ignoring input
timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/01/09 15:13:05.347, 0 %, 1 %, 332 MiB, 40
2026/01/09 15:13:08.351, 0 %, 1 %, 336 MiB, 40
2026/01/09 15:13:11.352, 0 %, 1 %, 333 MiB, 40
2026/01/09 15:13:14.353, 0 %, 5 %, 333 MiB, 39
2026/01/09 15:13:17.354, 5 %, 11 %, 333 MiB, 39
2026/01/09 15:13:20.355, 0 %, 9 %, 332 MiB, 38
2026/01/09 15:13:23.356, 0 %, 9 %, 328 MiB, 38
2026/01/09 15:13:26.358, 0 %, 9 %, 328 MiB, 38
2026/01/09 15:13:29.359, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:13:32.360, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:13:35.362, 0 %, 1 %, 332 MiB, 39
2026/01/09 15:13:38.363, 0 %, 1 %, 333 MiB, 39
2026/01/09 15:13:41.364, 0 %, 1 %, 332 MiB, 39
2026/01/09 15:13:44.365, 0 %, 1 %, 332 MiB, 40
2026/01/09 15:13:47.367, 0 %, 1 %, 333 MiB, 40
2026/01/09 15:13:50.368, 0 %, 1 %, 332 MiB, 40
2026/01/09 15:13:53.370, 0 %, 1 %, 333 MiB, 40
2026/01/09 15:13:56.371, 0 %, 1 %, 333 MiB, 40
2026/01/09 15:13:59.373, 0 %, 1 %, 333 MiB, 40
2026/01/09 15:14:02.374, 0 %, 1 %, 333 MiB, 40
2026/01/09 15:14:05.376, 0 %, 1 %, 332 MiB, 40
2026/01/09 15:14:08.377, 0 %, 1 %, 333 MiB, 40
2026/01/09 15:14:11.378, 0 %, 5 %, 332 MiB, 39
2026/01/09 15:14:14.380, 0 %, 9 %, 333 MiB, 39
2026/01/09 15:14:17.381, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:14:20.383, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:14:23.385, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:14:26.386, 0 %, 9 %, 332 MiB, 38
2026/01/09 15:14:29.388, 0 %, 9 %, 332 MiB, 38
2026/01/09 15:14:32.389, 5 %, 11 %, 333 MiB, 38
2026/01/09 15:14:35.390, 0 %, 9 %, 332 MiB, 38
2026/01/09 15:14:38.392, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:14:41.393, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:14:44.395, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:14:47.396, 0 %, 9 %, 333 MiB, 38
2026/01/09 15:14:50.398, 0 %, 9 %, 332 MiB, 37
2026/01/09 15:14:53.400, 0 %, 9 %, 333 MiB, 37
2026/01/09 15:14:56.401, 0 %, 9 %, 333 MiB, 37
2026/01/09 15:14:59.402, 0 %, 9 %, 333 MiB, 37
2026/01/09 15:15:02.403, 5 %, 11 %, 333 MiB, 37
2026/01/09 15:15:05.405, 0 %, 9 %, 333 MiB, 37
