Designator,Footprint,Quantity,Value,LCSC Part #
A1,MYIR-ZTURN,1,~,
"C1, C26, C27, C28, C29, C58, C59, C66, C67, C68, C69",0805,11,100nF,
"C10, C11, C22, C23, C24, C25, C3, C4, C5, C51, C53, C6, C7, C8, C9",0805,15,1uF,
"C12, C16, C55, C57, C61, C71, C75",0805,7,100nF,CL21B104KBFNNNG
"C13, C34",0805,2,12nF,
C14,0805,1,2.2nF,
C15,FILTER-SMD_4P-L2.0-W1.3-L_YFF21SC,1,Feedthrough,C2650914
"C17, C54, C64",0805,3,10uF,C2012X5R1C226M085AC
"C18, C19, C20, C21",0805,4,10uF,
C2,0805,1,4.7uF,
"C30, C31, C32, C33, C43, C45, C46, C49",0603,8,10nF,
"C35, C36, C37, C38, C39, C42, C44, C47, C48",0603,9,"0,1uF",
"C40, C41",0603,2,47pF,
"C50, C52",0805,2,10nF,
C56,FILTER-SMD_4P-L3.2-W1.6-L_YFF31HC,1,Feedthrough,C2650930
"C60, C70",0805,2,10uF,CL21Y106KOBVPNE
"C62, C72",0805,2,470pF,C0805C471K5RACTU
"C63, C73",0805,2,22uF,C2012X5R1C226M085AC
C65,0603,1,100nF,
"CN1, CN2",PinHeader_2x40_P1.27mm_Vertical_SMD_mirror,2,~,
"D1, D6",D_SMB,2,TVS_12V,SMBJ12CA
"FB1, FB2, FB3, FB4",0805,4,Ferrite Bead,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Jtag_01x06,
"J10, J11, J2, J8, J9",CUI_RCJ-044,5,Conn_Coaxial,
J12,PinHeader_1x04_P2.54mm_Vertical,1,DAC_01x04,
J13,PinHeader_2x08_P2.54mm_Vertical,1,ADC_02x08_Odd_Even,
J3,PinHeader_2x03_P2.54mm_Vertical,1,XADC_02x03_Odd_Even,
J4,PinHeader_2x02_P2.54mm_Vertical,1,MIO_02x02_Odd_Even,
J5,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,
J6,PinHeader_2x07_P2.54mm_Vertical,1,RxLvds_02x07_Odd_Even,
J7,PinHeader_2x09_P2.00mm_Vertical,1,TxLvds_02x09_Odd_Even,
"JP2, JP4",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_3_Open,
JP26,SolderJumper-4_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,1,Jumper_4_Open,
"JP27, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,4,Jumper_NO_Small,
JP6,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_NC_Dual,
"L1, L2",L_6.3x6.3_H3,2,2u2,IHLP2020CZER2R2M8A
P1,FPC-SMD_FH12-40S-0.5SH-55,1,FH12-40S-0.5SH(55),C202114
"R1, R10, R11, R13, R14, R4, R43, R44, R74, R75, R9",0603,11,22R,
R104,0805,1,750KR,CR0805-FX-7503ELF
R105,0805,1,240KR,CR0805-JW-244ELF
"R109, R12, R243, R5",0805,4,0R,RC0805JR-070RL
"R15, R45, R46, R47, R48, R49, R51, R52, R53",0603,9,1KR,
"R16, R18",0603,2,510R,
R17,0805,1,160R,
"R2, R54, R61, R63, R70, R71",0603,6,10KR,
"R21, R22, R26",0603,3,75R,
R23,0603,1,100KR,
"R27, R28, R29, R30",0805,4,24R,
R3,0805,1,100KR,CR0805-FX-7503ELF
"R31, R32, R33, R34",0805,4,51R,
"R37, R38, R39, R40, R7, R8",0603,6,4K7R,
"R41, R50, R56, R62, R68",0603,5,100R,
R6,0805,1,47KR,CR0805-JW-244ELF
"R60, R64, R65, R66, R67, R69, R72, R73",0805,8,0R,
"RN1, RN2, RN3, RN4",R_Array_Convex_4x0603,4,22R,
"RN5, RN6, RN7, RN8",R_Array_Convex_4x0603,4,22R,
SW1,7914G-1-000E,1,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
TP7,TestPoint_Loop_D2.50mm_Drill1.85mm,1,TestPoint,
"U1, U2",TSSOP-20_4.4x6.5mm_P0.65mm,2,TXS0108EPW,
U10,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP4922-EP,
U3,LFCSP-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ADV7391BCPZ,ADV7391BCPZ
"U30, U9",VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,2,TLV62130RGTR,TLV62130RGTR
U4,LFCSP-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,1,ADV7280xCP,C662254
"U5, U8",SOT-223-3_TabPin2,2,LD1117S33TR_SOT223,
U6,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,ADS7038,
U7,SOT-223-3_TabPin2,1,LD1117S18CTR_SOT223,
Y1,Crystal_SMD_HC49-SD,1,"28,6363Mhz",
